FacName,FacStreet,FacCity,FacState,FacZip,RegistryID,FacEPARegion,FacSICCodes,FacNAICSCodes,FacCurrSNCFlg,FacQtrsInNC,FacInspectionCount,FacPopDen,FacPercentMinority,FacFormalActionCount,geometry,complete,lon,lat
110 SAND CLEAN FILL DISPOSAL SITE,136 SPAGNOLI RD,MELVILLE,NY,11747,110012166814,02,1442 4953,562212 562213 212321,N,0,1,2174.26,18.285,0,POINT (-73.433772 40.761858),0,-73.433772,40.761858
121 REGIONAL DISPOSAL FACILITY,3820 SAM RAYBURN HIGHWAY,MELISSA,TX,75454,110043803578,06,,237990 562212,N,0,2,176.88,22.103,0,POINT (-96.53586 33.29857),0,-96.53586,33.29857
623 LANDFILL - PORTABLE,1961 ASHLAND RD,ROCKVILLE,VA,23146,110024521034,03,,562212,N,0,0,486.22,19.813,0,POINT (-77.66549000000001 37.69069),0,-77.66549,37.69069
"A & L SALVAGE, INC",11225 STATE RTE 45,LISBON,OH,44432,110009820505,05,4953 9511,562212,N,1,2,146.62,14.032,0,POINT (-80.73653 40.73843),0,-80.73653,40.73843
"A.C.M.S., INC.",1032 CR 529A,LAKE PANASOFFKEE,FL,33538,110055594833,04,4953,562219 562212,N,0,3,86.49,9.173,0,POINT (-82.089555 28.741075),0,-82.089555,28.741075
ABES AUTO RECYCLERS,96-1268 WAIHONA ST,PEARL CITY,HI,96782,110017220639,09,9999 4953,42193 562212,N,0,0,3808.64,88.651,0,POINT (-157.971763 21.412382),0,-157.971763,21.412382
ABILENE LANDFILL,US HIGHWAY 227 AND FM 3034 ON,ABILENE,TX,79604,110007019038,06,,562212,N,0,0,145.03,43.548,0,POINT (-99.75306 32.52361),0,-99.75306,32.52361
ACADIA PARISH SANITARY LANDFILL,611 PETAL RD,EGAN,LA,70531,110013921435,06,4953,562212 562111,N,5,3,45.8,3.718,0,POINT (-92.53263699999999 30.256038),0,-92.532637,30.256038
ACE COMPANIES LLC,900 ALRECO ROAD,BENTON HARBOR,MI,49022,110010306677,05,3341 3361,331314 562212 562910,N,0,0,929.3,74.528,0,POINT (-86.43802700000001 42.139687),0,-86.438027,42.139687
ACE REFRIGERATION,6440 6TH STREET SW,CEDAR RAPIDS,IA,52404,110020579863,07,1711,562212,N,0,0,564.06,12.744,0,POINT (-91.67634 41.91573),0,-91.67634,41.91573
ACME LANDFILL,950 WATERBIRD WAY,MARTINEZ,CA,94553,110017973399,09,4953,562211 562212,Y,12,6,2063.99,38.473,2,POINT (-122.081077 38.013699),0,-122.081077,38.013699
ACTON TRANSFER STATION LANDFILL,14 FOREST RD,ACTON,MA,01720,110033095656,01,,92219 562212,N,0,0,1143.72,20.494,0,POINT (-71.429265 42.474431),0,-71.429265,42.474431
ADA CITY OF / ADA MUNICIPAL SOLID WASTE LNDFLL,4 MILES NW OFF HWY 3,ADA,OK,74820,110044321604,06,4953,562212,N,0,0,0.0,0.0,0,POINT (-96.704241 34.767382),0,-96.704241,34.767382
ADA COUNTY LANDFILL,10300 N SEAMAN GULCH RD,GARDEN CITY,ID,83714,110018855041,10,4953,562212,N,0,2,793.74,9.147,0,POINT (-116.281228 43.705695),0,-116.281228,43.705695
ADAIR COUNTY LANDFILL,1645 STATE HWY 25,MILLERTON,IA,50165,110043324079,07,4953,562212,N,0,0,0.0,0.0,0,POINT (-93.30519 40.84803),0,-93.30519,40.84803
ADAMS COUNTY MEMORIAL HOSPITAL,805 HIGH ST,DECATUR,IN,46733,110003101982,05,8062,622110 562212,N,0,0,421.85,9.463,0,POINT (-84.917869 40.820268),0,-84.917869,40.820268
ADAMS COUNTY SHOOTING RANGE AND LANDFILL,14451 RIVERDALE RD,BRIGHTON,CO,80602,110067678944,08,,562212 713990,N,0,1,535.54,38.506,0,POINT (-104.863365 39.956888),0,-104.863365,39.956888
ADOBE BUTTES SANITARY LANDFILL,1221 TRAP CLUB ROAD,ECKERT,CO,81410,110039601151,08,,562212,N,0,0,87.95,13.855,0,POINT (-107.99646 38.82492),0,-107.99646,38.82492
ADRIAN LANDFILL,1970 OGDEN HWY,ADRIAN,MI,49221,110001300020,05,,562212,N,5,3,728.72,31.217,0,POINT (-83.992445 41.890683),0,-83.992445,41.890683
